Name,Movie,Year,Cause of Death
Nick Offerman,The Kings Of Summer,2013,Cutting Instrument
Nick Offerman,The Founder,2016,Ailment
Nick Offerman,Bad Times at the El Royale,2018,Firearms
Nick Offerman,Civil War,2024,Firearms
Bill Murray,Loose Shoes,1980,Fire
Bill Murray,Scrooged,1988,Supernatural
Bill Murray,Groundhog Day,1993,Vehicular
Bill Murray,Hamlet,2000,Firearms
Bill Murray,Osmosis Jones,2001,Ailment
Bill Murray,City of Ember,2008,Fire
Bill Murray,The Limits of Control,2009,Strangulation
Bill Murray,Zombieland,2009,Firearms
Bill Murray,Ghostbusters,2016,Supernatural
Bill Murray,The Dead Dont Die,2019,Impact
Bill Murray,The French Dispatch,2021,Ailment
Bill Murray,Ant-Man and the Wasp: Quantumania,2023,Animals
Bill Murray,Ghostbusters: Frozen Empire,2024,Weather
Jonah Hill,Superbad,2007,Cutting Instrument
Jonah Hill,Walk Hard: The Dewey Cox Story,2007,Supernatural
Jonah Hill,Django Unchained,2012,Explosives
Jonah Hill,This Is the End,2013,Supernatural
Jonah Hill,Sausage Party,2016,Cutting Instrument
Jonah Hill,"Dont Worry, He Wont Get Far on Foot",2018,Supernatural
Ethan Hawke,The Newton Boys,1998,Ailment
Ethan Hawke,Hamlet,2000,Firearms
Ethan Hawke,Taking Lives,2004,Cutting Instrument
Ethan Hawke,One Last Thing...,2005,Ailment
Ethan Hawke,Brooklyns Finest,2009,Firearms
Ethan Hawke,Daybreakers,2009,Supernatural
Ethan Hawke,Staten Island,2009,Other
Ethan Hawke,Sinister,2012,Cutting Instrument
Ethan Hawke,The Purge,2013,Cutting Instrument
Ethan Hawke,Predestination,2014,Firearms
Ethan Hawke,Born to Be Blue,2015,Other
Ethan Hawke,The Magnificent Seven,2016,Firearms
Ethan Hawke,24 Hours to Live,2017,Firearms
Ethan Hawke,First Reformed,2017,Strangulation
Ethan Hawke,The Northman,2022,Cutting Instrument
Ethan Hawke,The Black Phone,2022,Strangulation
Dean Norris,Lethal Weapon 2,1989,Explosives
Dean Norris,Hard to Kill,1990,Firearms
Dean Norris,Remember,2015,Firearms
Dean Norris,The Book Of Henry,2017,Firearms
Dean Norris,Carry-On,2024,Cutting Instrument
Dean Norris,Charmed,1999,Cutting Instrument
Dean Norris,Terminator: The Sarah Connor Chronicles,2008,Other
Dean Norris,Key and Peele,2012,Narcotics
Dean Norris,CSI: Crime Scene Investigation,2011,Strangulation
Dean Norris,Breaking Bad,2013,Firearms
Ron Perlman,The Name of the Rose,1986,Fire
Ron Perlman,Sleepwalkers,1992,Other
Ron Perlman,The Adventures of Huck Finn,1993,Other
Ron Perlman,Cronos,1993,Supernatural
Ron Perlman,Sensation,1994,Blunt Objects
Ron Perlman,The Protector,1998,Ailment
Ron Perlman,The Kings Guard,2000,Other
Ron Perlman,Enemy at the Gates,2001,Firearms
Ron Perlman,Blade II,2002,Cutting Instrument
Ron Perlman,Star Trek Nemesis,2002,Impact
Ron Perlman,Looney Tunes: Back in Action,2003,Supernatural
Ron Perlman,5ive Girls,2006,Cutting Instrument
Ron Perlman,In the Name of the King: A Dungeon Siege Tale,2007,Cutting Instrument
Ron Perlman,The Spiderwick Chronicles,2008,Supernatural
Ron Perlman,I Sell the Dead,2008,Blunt Objects
Ron Perlman,Mutant Chronicles,2008,Supernatural
Ron Perlman,Outlander,2008,Cutting Instrument
Ron Perlman,The Devils Tomb,2009,Supernatural
Ron Perlman,Bunraku,2010,Cutting Instrument
Ron Perlman,Season of the Witch,2011,Fire
Ron Perlman,Conan the Barbarian,2011,Fire
Ron Perlman,Drive,2011,Vehicular
Ron Perlman,Justice League: The Flashpoint Paradox,2013,Drowning
Ron Perlman,13 Sins,2014,Firearms
Ron Perlman,Skin Trade,2014,Cutting Instrument
Ron Perlman,Poker Night,2014,Firearms
Ron Perlman,The Virginian,2014,Firearms
Ron Perlman,The Escape of Prisoner 614,2018,Ailment
Ron Perlman,Clover,2020,Poison
Ron Perlman,The Big Ugly,2020,Firearms
Ron Perlman,Dont Look Up,2021,Firearms
Ron Perlman,There Are No Saints,2022,Cutting Instrument
Ron Perlman,Guillermo del Toros Pinocchio,2022,Explosives
Ron Perlman,The Retirement Plan,2023,Firearms
Ron Perlman,Absolution,2024,Firearms
Bruce Dern,"Hush...Hush, Sweet Charlotte",1964,Cutting Instrument
Bruce Dern,Marnie,1964,Personal Weapons
Bruce Dern,The Wild Angels,1966,Supernatural
Bruce Dern,The St. Valentines Day Massacre,1967,Firearms
Bruce Dern,The Trip,1967,Other
Bruce Dern,The War Wagon,1967,Firearms
Bruce Dern,Will Penny,1968,Personal Weapons
Bruce Dern,Psych-Out,1968,Firearms
Bruce Dern,Hang Em High,1968,Strangulation
Bruce Dern,Castle Keep,1969,Firearms
Bruce Dern,The Cycle Savages,1969,Firearms
Bruce Dern,Bloody Mama,1970,Firearms
Bruce Dern,The Incredible 2-Headed Transplant,1971,Impact
Bruce Dern,The Cowboys,1972,Firearms
Bruce Dern,The King of Marvin Gardens,1972,Firearms
Bruce Dern,Silent Running,1972,Other
Bruce Dern,Black Sunday,1977,Firearms
Bruce Dern,Coming Home,1978,Drowning
Bruce Dern,Tattoo,1981,Cutting Instrument
Bruce Dern,"Harry Tracy, Desperado",1982,Firearms
Bruce Dern,"After Dark, My Sweet",1990,Firearms
Bruce Dern,Wild Bill,1995,Firearms
Bruce Dern,Small Soldiers,1998,Vehicular
Bruce Dern,The Glass House,2001,Cutting Instrument
