Name,Movie,Year,Cause of Death
Alex Breaux,John Harvard,2007,Ailment
Alex Breaux,The Dead Don’t Hurt,2023,Strangulation
Gaetano Bruno,Mission: Impossible - Dead Reckoning Part 1,2023,Cutting Instrument
Ira Amyx,A Man Called Otto,2022,Ailment
Jai Stefan,Crank,2006,Firearms
Jessica Cook,Stung,2015,Supernatural
Mario Pilar,Black Turin,1972,Firearms
Dave Beaudrie,Negotiate,2013,Firearms
Dave Beaudrie,Stakeout,2014,Firearms
Dave Beaudrie,Hack House,2017,Cutting Instrument
Christy Siebert,Stakeout,2014,Firearms
Sasha D'Arc,Day of the Cobra,1980,Animals
Sasha D'Arc,Master of the World,1983,Animals
Sasha D'Arc,The Repenter,1985,Strangulation
Kevin Caliber,Death House,2017,Cutting Instrument
Kevin Caliber,The Last Hit,2019,Narcotics
Kevin Caliber,Dont Trust,2020,Firearms
Kevin Caliber,Craving,2023,Supernatural
Erland Josephson,I Am Afraid,1977,Firearms
Erland Josephson,Montenegro,1981,Poison
Roger Gutierrez,The Last Hit,2019,Ailment
Herbert Fleischmann,Battle of the Godfathers,1973,Firearms
Daniel Gélin,The Police Serve the Citizens?,1973,Vehicular
Daniel Gélin,La Cité de la peur,1994,Cutting Instrument
Giuseppe Anatrelli,Sgarro Alla Camorra,1973,Cutting Instrument
Jo Ann Dearing,C.H.U.D. II: Bud the C.H.U.D.,1989,Supernatural
Brian Robbins,Cellar Dweller,1987,Fire
Brian Robbins,C.H.U.D. II: Bud the C.H.U.D.,1989,Supernatural
Kathleen Chalfant,Hereditary,2018,Ailment
Kathleen Chalfant,Old,2021,Ailment
Terence Cooper,Casino Royale,1967,Explosives
Terence Cooper,Hot Pursuit,1987,Other
Montagu Love,Don Juan,1926,Cutting Instrument
Montagu Love,The Crusades,1935,Other
Montagu Love,North West Mounted Police,1940,Firearms
William Matthew Anderson,Halloween,2018,Other
Jim Goodwin,Attack,1956,Firearms
Peter Kwong,Big Trouble in Little China,1986,Cutting Instrument
Peter Kwong,The Golden Child,1986,Blunt Objects
Peter Kwong,Steele Justice,1987,Vehicular
Ryan Donowho,Altitude,2010,Supernatural
Ryan Donowho,Transit,2012,Firearms
Ryan Donowho,Cabin Fever: Patient Zero,2014,Ailment
Ryan Donowho,High Voltage,2018,Weather
Tiger Chung Lee,The Golden Child,1986,Firearms
Tiger Chung Lee,Blind Fury,1989,Firearms
Tau Logo,The Golden Child,1986,Other
Bas Rutten,Sinners and Saints,2010,Firearms
Katherine Healy,Six Weeks,1982,Ailment
Kyle Eastwood,The Outlaw Josey Wales,1976,Other
Savira Windyani,Unfriended: Dark Web,2018,Impact
Shôsaku Sugiyama,The Invisible Man Appears,1949,Firearms
Shôsaku Sugiyama,The Ghost of Yotsuya,1959,Supernatural
Shôsaku Sugiyama,Zatoichi on the Road,1963,Cutting Instrument
Shôsaku Sugiyama,Yokai Monsters: 100 Mosnters,1968,Supernatural
Yoshio Yoshida,Zatoichi on the Road,1963,Cutting Instrument
Yoshio Yoshida,The Betrayal,1966,Cutting Instrument
Yoshio Yoshida,Yokai Monsters: 100 Mosnters,1968,Supernatural
Stephen Douglas Butler,The Outlaw Josey Wales,1976,Firearms
Bruce M. Fischer,Doc,1971,Firearms
Bruce M. Fischer,The Outlaw Josey Wales,1976,Firearms
Faye Hamblin,The Outlaw Josey Wales,1976,Other
Kenzô Tabu,Invasion of Astro-Monster,1965,Supernatural
Kenzô Tabu,Zatoichi Goes to the Fire Fesitval,1970,Firearms
Tim Roy Lowe,The Outlaw Josey Wales,1976,Firearms
Ilario Bisi-Pedro,The Dogs of War,1980,Animals
Stephen Nichols,Witchboard,1986,Other
Stephen Nichols,Cover Me,1995,Firearms
Shae Marks,Cover Me,1995,Strangulation
Shônosuke Ichikawa,Under the Flag of the Rising Sun,1972,Vehicular
Jess Hahn,The Night of the Following Day,1969,Firearms
Robert Castel,Le Grand Blond avec une chaussure noire,1972,Firearms
Robert Jauregui,Appaloosa,2008,Firearms
James Tarwater,Appaloosa,2008,Firearms
Scott Edmund Lane,Savage Dawn,1985,Strangulation
Bill Paterson,Return of the Three Musketeers,1989,Cutting Instrument
Bill Paterson,Into the Storm,2009,Other
Tsutomu Kitagawa,Rebirth of Mothra III,1998,Explosives
Tsutomu Kitagawa,Godzilla Against Mechagodzilla,2002,Other
Shino Ikenami,Village of Doom,1983,Firearms
Shino Ikenami,Zegen,1987,Impact
Shino Ikenami,Evil Dead Trap 2,1992,Other
Sanshô Shinsui,Zegen,1987,Drowning
Gage Graham-Arbuthnot,Possessor,2020,Firearms
Poonam Dhillon,Noorie,1979,Other
Poonam Dhillon,John Jani Janardhan,1984,Other
Poonam Dhillon,Teri Meherbaniyan,1985,Cutting Instrument
Poonam Dhillon,Himmat aur Mehnat,1987,Cutting Instrument
Poonam Dhillon,Hisaab Khoon Ka,1989,Firearms
Erol Tas,The Hand that Feeds the Dead,1974,Firearms
Erol Tas,Lover of the Monster,1974,Supernatural
Alessandro Perrella,Lady Frankenstein,1971,Blunt Objects
Alessandro Perrella,The Hand that Feeds the Dead,1974,Strangulation
Katia Christine,The Hand that Feeds the Dead,1974,Ailment
Katia Christine,Lover of the Monster,1974,Supernatural
Katia Christine,Riot in a Womens Prison,1974,Impact
Marzia Damon,Byleth: The Demon of Incest,1972,Supernatural
Marzia Damon,The Hand that Feeds the Dead,1974,Personal Weapons
Marzia Damon,Lover of the Monster,1974,Supernatural
Kazuo Kitamura,The Human Condition III: A Soliders Prayer,1961,Firearms
Kazuo Kitamura,Black Rain,1989,Supernatural
Kazuo Kitamura,Heat Wave,1991,Weather
Kazuo Kitamura,Warm Water Under a Red Bridge,2001,Drowning
Robert Hanley,L.A. Bounty,1989,Cutting Instrument
Olu Jacobs,Pirates,1986,Firearms
Jack Poggi,Collision Course,1989,Vehicular
Yoshiko Nakada,A Chaos of Flowers,1988,Ailment
Keiko Matsuzaka,The Last Samurai,1974,Cutting Instrument
Keiko Matsuzaka,The Gate of Youth,1981,Ailment
Junko Takada,The Ballad of Narayama,1983,Other
Casey Takamine,The Ballad of Narayama,1983,Ailment
Masami Okamoto,The Ballad of Narayama,1983,Other
Yukie Shimura,The Ballad of Narayama,1983,Other
Akio Yokoyama,The Ballad of Narayama,1983,Other
Akio Yokoyama,After Life,1998,Supernatural
Kaoru Shimamori,The Ballad of Narayama,1983,Other
Reiko Ôhara,The Shoguns Samurai,1978,Cutting Instrument
Masaya Kikawada,Battle Royale II,2003,Firearms
Jim Wynorski,Chopping Mall,1986,Vehicular
Jim Wynorski,Deathstalker II,1987,Other
Sally Gray,A Window in London,1939,Impact
Maho Nonami,2LDK,2003,Cutting Instrument
Roman Podhora,Assault on Precinct 13,2005,Firearms
Roman Podhora,Skinwalkers,2006,Cutting Instrument
Roman Podhora,Recoil,2011,Impact
Daniel Crohem,Le Doulos,1962,Firearms
Jacques de Léon,Le Doulos,1962,Firearms
René Lefèvre,Le Doulos,1962,Firearms
Serge Reggiani,Le Doulos,1962,Firearms
Serge Reggiani,The Day of the Owl,1968,Animals
Carl Studer,Le Doulos,1962,Firearms
John Goodwin,Tremors,1990,Impact
John Pappas,Tremors,1990,Other
John Pappas,Tremors 3: Back to Perfection,2001,Other
Paul Humpoletz,Barry McKenzie Holds His Own,1974,Cutting Instrument
Paul Humpoletz,Force 10 from Navarone,1978,Firearms
Paul Humpoletz,The Holcroft Covenant,1985,Firearms
Dick Bentley,Barry McKenzie Holds His Own,1974,Cutting Instrument
Robert Gillespie,Barry McKenzie Holds His Own,1974,Explosives
Eddie Barth,Shaft,1971,Firearms
Charlotte Ross,Love and a .45,1994,Firearms
Lucy Aley-Parker,The Utah Cabin Murders,2019,Firearms
David Conley,13,2010,Firearms
Jeff Burchfield,13,2010,Firearms
Taichi Yazaki,Big Man Japan,2007,Supernatural
Ben Whitehead,Wallace and Gromit : A Matter of Loaf and Death,2008,Blunt Objects
Paul Hampton,More Dead Than Alive,1969,Firearms
André Pousse,Le Pacha,1968,Firearms
André Pousse,Un Flic,1972,Ailment
André Pousse,Linsouscient,1973,Firearms
André Pousse,La Septième Compagnie au clair de lune,1977,Explosives
Riccardo Cucciolla,Grand Slam,1967,Blunt Objects
Riccardo Cucciolla,The Seven Cervi Brothers,1968,Firearms
Riccardo Cucciolla,"The Case Is Close, Forget It",1971,Cutting Instrument
Riccardo Cucciolla,Sacco & Vanzetti,1971,Other
Riccardo Cucciolla,Un Flic,1972,Firearms
Riccardo Cucciolla,"No, The Case is Happily Resolved",1973,Other
Riccardo Cucciolla,The Sensual Man,1973,Firearms
Riccardo Cucciolla,Borsalino and Co,1974,Other
Dante Joseph,Vigilante,1982,Explosives
Peter Savage,Vigilante,1982,Firearms
Vincent Beck,Vigilante,1982,Vehicular
Claire van der Boom,The Square,2008,Firearms
Duilio Del Prete,High Crime,1973,Firearms
Noel Hood,The Curse of Frankenstein,1957,Other
Fred Johnson,The Curse of Frankenstein,1957,Strangulation
Nell Hudson,The Texas Chainsaw Massacre,2022,Cutting Instrument
Luke Baines,Truth or Dare,2017,Strangulation
Luke Baines,Untitled Horror Movie,2021,Supernatural
Urs Althaus,The Name of the Rose,1986,Poison
Charles Vanel,Magnet of Doom,1963,Cutting Instrument
Charles Vanel,Symphony for a Massacre,1963,Cutting Instrument
Charles Vanel,Illustrious Corpses,1976,Firearms
Claudio Fragasso,Robowar,1988,Firearms
Michael Welborn,Strike Commando,1986,Blunt Objects
Michael Welborn,Robowar,1988,Firearms
Jim Gaines,Strike Commando,1986,Blunt Objects
Jim Gaines,Cop Game,1988,Firearms
Jim Gaines,Robowar,1988,Firearms
Jim Gaines,Zombie 4,1989,Supernatural
John P. Dulaney,Robowar,1988,Fire
Mel Davidson,Robowar,1988,Explosives
Mel Davidson,Strike Commando 2,1988,Blunt Objects
Max Laurel,Zuma,1985,Other
Max Laurel,Anak Ni Zuma,1987,Other
Max Laurel,Cop Game,1988,Animals
Max Laurel,Robowar,1988,Firearms
Max Laurel,Sgt. Clarin Bala para sa ulo mo,1990,Other
Max Laurel,Pulis Probinsya II,1995,Other
Max Laurel,Haragan,1997,Other
Vahina Giocante,Darkness Falls,2020,Impact
Tony Christian,Tenet,2020,Blunt Objects
Benjamin Winspear,The Babadook,2014,Vehicular
Claudio Cicchetti,"Salò, or the 120 Days of Sodom",1975,Other
Leslie Mann,Blythe Spirit,2020,Supernatural
Kate Davies Speak,Knights of the Damned,2017,Supernatural
Kate Davies Speak,Dead Air,2019,Vehicular
Carla Cresswell,Knights of the Damned,2017,Supernatural
Svenja Jung,Baghead,2023,Vehicular
Kathryn Fiore,The Game Plan,2007,Vehicular
Kathryn Fiore,Hatchet II,2010,Cutting Instrument
Rachel DiPillo,Recovery,2016,Cutting Instrument
Paul D. Hunt,Osombie,2012,Firearms
Francesco Di Federico,My Dear Killer,1972,Cutting Instrument
Chick Allan,Gladiator,2000,Cutting Instrument
Gilly Gilchrist,Gladiator,2000,Firearms
Anna Liberati,The Girl in Room 2A,1974,Cutting Instrument
Jim Driggers,The Beastmaster,1982,Strangulation
Mick Thibodeau,The Beastmaster,1982,Strangulation
Henry Carbo,The Beastmaster,1982,Supernatural
Flavia Keyt,The French Sex Murders,1972,Other
Rod Shaft,Action U.S.A.,1989,Firearms
Malcolm King,Action U.S.A.,1989,Firearms
Gary Beal,Action U.S.A.,1989,Fire
David Sanders,Action U.S.A.,1989,Personal Weapons
Matthew Scott Carlton,Action U.S.A.,1989,Firearms
Aurélie Meriel,Seal Team Eight: Behind Enemy Lines,2014,Animals
John Schwab,Jurassic World: Fallen Kingdom,2018,Impact
Kevin Layne,Jurassic World: Fallen Kingdom,2018,Impact
Kevin Layne,Aka,2023,Firearms
Olivia Colman,The Karman Line,2014,Other
Olivia Colman,The Mitchells vs. the Machines,2021,Drowning
Sarah Hadland,Magicians,2007,Cutting Instrument
Bruno Di Luia,Syndicate Sadists,1975,Firearms
Bruno Di Luia,A Man Called Blade,1977,Cutting Instrument
Bruno Di Luia,The Violent Breed,1984,Firearms
Eddie Frias,Red Surf,1989,Firearms
Eddie Frias,Falling Down,1993,Impact
Pat Romano,Falling Down,1993,Impact
Tony Epper,The Beastmaster,1982,Firearms
Tony Epper,Runaway Train,1985,Cutting Instrument
Tony Epper,The Hitcher,1986,Firearms
James Sampson,Escape from the Bronx,1984,Explosives
James Sampson,Zombie 4,1989,Supernatural
Yasuaki Honda,Roboman Hakaider,1995,Personal Weapons
Halina Reijn,Boy 7,2015,Vehicular
Tygo Gernandt,Black Death,2010,Cutting Instrument
Tygo Gernandt,Boy 7,2015,Firearms
James Bachman,Stiffy,2005,Other
Svetozar Cvetkovic,Montenegro,1981,Impact
Svetozar Cvetkovic,Time of Miracles,1989,Other
Svetozar Cvetkovic,Silent Gunpowder,1990,Explosives
Svetozar Cvetkovic,Wheels,1998,Firearms
Svetozar Cvetkovic,The Tour,2008,Explosives
Peter Schrum,Trancers,1984,Firearms
Peter Schrum,Demonic Toys,1992,Other
Wendy Albiston,Wonder Woman 1984,2020,Ailment
Jerome Flynn,Edward II,1991,Personal Weapons
Bryan Mosley,Get Carter,1971,Impact
Gemma Cuervo,Blood at Sundown,1965,Firearms
Armando Guarnieri,Blood at Sundown,1965,Firearms
Armando Guarnieri,The Seventh Grave,1965,Firearms
Pasquale Simeoli,Blood at Sundown,1965,Firearms
Frank Oliveras,Blood at Sundown,1965,Firearms
Gianni Solaro,1000 On the Black,1966,Ailment
Chris Howland,1000 On the Black,1966,Firearms
Carlo D'Angelo,1000 On the Black,1966,Firearms
Franco Fantasia,1000 On the Black,1966,Firearms
Franco Fantasia,Murder Mansion,1972,Ailment
Franco Fantasia,The Heroin Busters,1977,Narcotics
Franco Fantasia,Killer Crocodile II,1990,Animals
John Bartha,Hands of a Gunfighter,1965,Firearms
John Bartha,Django Shoots First,1966,Firearms
Craig Hill,Hands of a Gunfighter,1965,Firearms
Craig Hill,The Bloodstained Shadow,1978,Impact
Aleksandr Domogarov,Why Dont You Just Die!,2018,Personal Weapons
Corrado Olmi,A Stranger In Paso Bravo,1968,Firearms
Jean Favre,Rome: The Other Side of Violence,1976,Firearms
Ekaterina Buscemi,Girl in the Fog,2017,Weather
Ferdinand Kingsley,Mank,2020,Ailment
René Gatica,Toy Soldiers,1991,Impact
Sarah Burns,Werewolves Within,2021,Supernatural
Charles Weaver,Beach Red,1967,Firearms
Dewey Stringer,Beach Red,1967,Explosives
Fred Galang,Beach Red,1967,Cutting Instrument
Dale Ishimoto,Beach Red,1967,Firearms
Hiroshi Kiyama,Beach Red,1967,Cutting Instrument
Genki Koyama,Beach Red,1967,Other
Joel Pierce,Love and Monsters,2020,Supernatural
Andrew Buchanan,Love and Monsters,2020,Supernatural
Tandi Wright,Jack the Giant Slayer,2013,Supernatural
Tandi Wright,Love and Monsters,2020,Supernatural
Tandi Wright,Pearl,2022,Firearms
Melanie Zanetti,Love and Monsters,2020,Supernatural
Dan Ewing,Love and Monsters,2020,Supernatural
Tre Hale,Love and Monsters,2020,Supernatural
John Napier,Rough Night In Jericho,1967,Strangulation
John Corbett (American),Tombstone,1993,Firearms
John Corbett (American),Dont Look Back,1996,Firearms
John Corbett (American),The Messengers,2007,Supernatural
John Corbett (American),Street Kings,2008,Firearms
John Corbett (American),The Lookalike,2014,Firearms
John Corbett (American),My Dead Boyfriend,2016,Other
John Corbett (American),47 Meters Down: Uncaged,2019,Animals
Brad Weston,Rough Night In Jericho,1967,Firearms
Masaki Nishina,Devilman,2004,Supernatural
Ichirô Ogura,The Shogun Assassins,1979,Other
Ichirô Ogura,Devilman,2004,Other
Konishiki,Devilman,2004,Supernatural
Jacques Marchand,Deux hommes dans la ville,1973,Strangulation
Ilaria Occhini,Deux hommes dans la ville,1973,Vehicular
Charlie Tanimoto,The Karate Kid Part II,1986,Personal Weapons
Carey Torrice,Silent Scream,2005,Other
José Luis Velasco,Murder Mansion,1972,Supernatural
Roger Lumont,The Train,1964,Firearms
Albert Rémy,Raid on Drugs,1955,Narcotics
Albert Rémy,The Four Horsemen of the Apocalypse,1962,Firearms
Albert Rémy,The Train,1964,Firearms
Jean Bouchaud,The Train,1964,Impact
Christian Fuin,The Train,1964,Firearms
Isabella Sermon,Jurassic World: Fallen Kingdom,2018,Impact
Isabella Sermon,Jurassic World: Dominion,2022,Ailment
Fred Stillkrauth,Cross of Iron,1977,Firearms
Chabela Durán,The Criminal Life of Archibaldo de la Cruz,1955,Impact
Daniel Stephen,2020 Texas Gladiators,1983,Animals
Dave Bartholomew,Blind Fury,1989,Cutting Instrument
Ray Colbert,Blind Fury,1989,Cutting Instrument
Mike Shanks,Blind Fury,1989,Cutting Instrument
David R. Ellis,Blind Fury,1989,Cutting Instrument
Weasel Forshaw,Blind Fury,1989,Cutting Instrument
Alex Morris,Blind Fury,1989,Cutting Instrument
Woody Watson,Pray for Death,1985,Poison
Woody Watson,Blind Fury,1989,Cutting Instrument
Alexander Kerst,The Holcroft Covenant,1985,Firearms
Michael Wolf (German actor),The Holcroft Covenant,1985,Firearms
Hugo Bower,The Holcroft Covenant,1985,Firearms
Guntbert Warns,The Holcroft Covenant,1985,Firearms
Richard Münch,The Holcroft Covenant,1985,Firearms
Richard Münch,Target,1985,Firearms
Emma Booth,Blood Creek,2009,Other
Emma Booth,Devils Peak,2023,Supernatural
Emma Booth,Jack Irish: Bad Debts,2012,Firearms
Folco Lulli,The Longest Hunt,1968,Firearms
Cyd Casados,The Badge,2002,Firearms
Luigina Rocchi,The Violent Breed,1984,Firearms
Tim Mateer,Blind Fury,1989,Firearms
Jay Pennison,Blind Fury,1989,Cutting Instrument
Robert Sutton,The Don Is Dead,1973,Firearms
Robert Sutton,Sudden Impact,1983,Firearms
Lloyd Gough,Rancho Notorious,1952,Firearms
Lloyd Gough,Earthquake,1974,Weather
Danièle Gégauff,Pleasure Party,1975,Personal Weapons
Arthur Gomez,The End Of The Line,1957,Firearms
Nam Yin,Fatal Vacation,1990,Firearms
Charles Keating,Tales of the Unexpected,1983,Poison
Alfred Lynch,The Hill,1965,Blunt Objects
Alfred Lynch,The Blockhouse,1973,Explosives
Linda Perlin,Rapid Fire,1992,Firearms
Tom Gleason,Samurai Cop,1991,Cutting Instrument
Mark Baue,Samurai Cop,1991,Firearms
Rick Garcia,Extreme Prejudice,1987,Firearms
Rick Garcia,Samurai Cop,1991,Cutting Instrument
Fred Floyd,Samurai Cop,1991,Firearms
Yeong-seok Lee,Mother,2009,Blunt Objects
Jerry Black,Samurai Cop,1991,Firearms
Elaine Kussack,Ghost Town,2008,Supernatural
Elsa Cárdenas,Taggart,1964,Firearms
Elsa Cárdenas,Peligro....Mujeres en accion,1967,Firearms
Elsa Cárdenas,The Wild Bunch,1969,Firearms
Emmanuelle Grönvold,Love Me If You Dare,2003,Ailment
Reagan Wright,Invalid,2015,Cutting Instrument
Reagan Wright,Slaughterhouse Slumber Party,2019,Fire
Reagan Wright,RIP: Rest in Pieces,2020,Firearms
Allison Egan,Skinless,2013,Fire
Allison Egan,Amityville: No Escape,2016,Drowning
Allison Egan,RIP: Rest in Pieces,2020,Other
Don Pulford,The Last Boy Scout,1991,Firearms
Don Pulford,Under Siege 2: Dark Territory,1995,Personal Weapons
Norman Rodway,A Question of Suspense,1961,Other
Norman Rodway,Chimes at Midnight,1965,Other
Norman Rodway,Who Dares Win,1982,Narcotics
Dick Ziker,The Last Boy Scout,1991,Firearms
Robert Wightman,Stepfather III,1992,Impact
Nick Dennis,The Glory Brigade,1953,Other
Nick Dennis,Kiss Me Deadly,1955,Cutting Instrument
Nick Dennis,Spartacus,1960,Other
Nick Dennis,Gunpoint,1966,Impact
Gérard Tichy,The Blancheville Monster,1963,Supernatural
Gérard Tichy,The Hanging Woman,1973,Strangulation
Gérard Tichy,The Beast and the Magic Sword,1983,Supernatural
Carlos Quiney,The Hanging Woman,1973,Strangulation
Sylvia Coleridge,I Met A Murderer,1939,Firearms
John Hargreaves,Long Weekend,1978,Vehicular
Robert Gunner,Planet of the Apes,1968,Firearms
Eldon Burke,Beneath the Planet of the Apes,1970,Animals
Eldon Burke,The Poseidon Adventure,1972,Drowning
Tom Lowell,Escape from the Planet of the Apes,1971,Other
Andy Knight,Battle for the Planet of the Apes,1973,Other
Bobby Porter,The Poseidon Adventure,1972,Drowning
Bobby Porter,Battle for the Planet of the Apes,1973,Impact
Bobby Porter,Night of the Comet,1984,Supernatural
Hari Rhodes,Sharkys Machine,1981,Firearms
Hari Rhodes,Battle for the Planet of the Apes,1973,Other
Hari Rhodes,Zane Grey Theatre: Mission,1959,Firearms
Hari Rhodes,The Streets of San Francisco,1974,Strangulation
Andrea Grano,Planet of the Apes,2001,Other
Jon Eyez,Dawn of the Planet of the Apes,2014,Other
Mustafa Harris,Dawn of the Planet of the Apes,2014,Other
Freida Pinto,Dawn of the Planet of the Apes,2014,Other
Mattie Hawkinson,Dawn of the Planet of the Apes,2014,Other
Alicia Ammon,Journey Into Fear,1975,Firearms
Leigh Wood,The Banker,1989,Other
Alyson Court,Allison Rosso,1987,Vehicular
Ronn Surels,The Expendables,2010,Other
Ronn Surels,Homefront,2013,Firearms
John Hopkins,The Pool,2001,Drowning
James McArdle,Ammonite,2020,Other
Crispin De Nuys,River of Death,1989,Drowning
Victor Melleney,River of Death,1989,Drowning
Norman Anstey,River of Death,1989,Drowning
Lindsay Reardon,River of Death,1989,Drowning
Rufus Swart,The House of Usher,1989,Impact
Rufus Swart,River of Death,1989,Drowning
Alain D. Woolf,River of Death,1989,Drowning
Foziah Davidson,River of Death,1989,Drowning
Boris Plotnikov,The Ascent,1977,Strangulation
Yolanda Signorelli,The Wicked Die Slow,1968,Firearms
Racine,The Wicked Die Slow,1968,Firearms
Samantha Worthington,The Wicked Die Slow,1968,Firearms
Nick Apostolides,The Suffering,2016,Other
Nick Apostolides,Among Them,2018,Firearms
Nick Apostolides,Blackmark,2018,Firearms
Grace Van Patten,Central Park,2017,Strangulation
John Mosetich,Among Them,2018,Firearms
Melissa Lewis,The Base 2: Guilty As Charged,2000,Firearms
Jo Hart,Jurassic World: Fallen Kingdom,2018,Impact
Duc Hu Ta,Full Metal Jacket,1987,Other
Kim Myung-soo,Joint Security Area,2000,Firearms
Julianne Michelle,Apartment 1303 3D,2012,Impact
Mira Furlan,Brothers,1988,Other
Robert Bruce,This Is My Street,1964,Vehicular
Steve Parrish,Scanner Cop,1994,Firearms
Malika Samuel,Central Park,2017,Cutting Instrument
Guillermo Arribas,Central Park,2017,Personal Weapons
Ian Jamieson,The Man from Hong Kong,1975,Narcotics
Grant Page,The Man from Hong Kong,1975,Personal Weapons
Grant Page,Mad Dog Morgan,1976,Animals
Fitz Houston,Chinatown Connection,1990,Impact
Rebecca Gilling,The Man from Hong Kong,1975,Explosives
Mark Day,Fatman,2020,Firearms
Tom Bui,Jurassic World,2015,Personal Weapons
Paul Darnell,Jurassic World,2015,Impact
Kamil Lemieszewski,Jurassic World: Fallen Kingdom,2018,Impact
Paul Howell,Jurassic World: Fallen Kingdom,2018,Impact
Doug Robson,Jurassic World: Fallen Kingdom,2018,Impact
Doug Robson,Meg 2: The Trench,2023,Other
Joe Kennard,Jurassic World: Fallen Kingdom,2018,Impact
Joe Kennard,Star Wars Episode IX: The Rise of Skywalker,2019,Personal Weapons
Jeremy Gilbert,Jurassic World: Fallen Kingdom,2018,Impact
Jean Servais,Rififi,1955,Firearms
Jean Servais,The World in My Pocket,1961,Animals
Jean Servais,That Man From Rio,1964,Other
Edmund Gwenn,Sylvia Scarlett,1935,Impact
Edmund Gwenn,Foreign Correspondent,1940,Impact
Mio R. Jakula,The Hunted,2003,Cutting Instrument
Vladimir Gostyukhin,The Ascent,1977,Firearms
Viktoriya Goldentul,The Ascent,1977,Strangulation
Lyudmila Polyakova,The Ascent,1977,Strangulation
Sergey Yakovlev,The Ascent,1977,Strangulation
Mirko Valentin,The Castle of the Living Dead,1964,Firearms
Mirko Valentin,The Hills Run Red,1966,Firearms
Mirko Valentin,"$10,000 Dollars for a Massacre",1967,Firearms
Gianluigi Crescenzi,The Hills Run Red,1966,Firearms
Goffredo Matassi,The Hills Run Red,1966,Firearms
Bill Lawler,The Norseman,1978,Firearms
Jonothon Gill,The Quick and the Dead,1995,Firearms
Jerry Daniels,The Norseman,1978,Cutting Instrument
Daniel R. Hill,Rust Creek,2018,Fire
Daniel R. Hill,Hunters Moon,2020,Supernatural
Daniel R. Hill,Wrong Turn,2021,Cutting Instrument
Giada Desideri,Un caso damore,1996,Drowning
Alessandra Vazzoler,Autopsy,1975,Other
Cindy Girling,Autopsy,1975,Other
Gaby Wagner,Autopsy,1975,Other
Barbara Lay,Autopsy,1975,Cutting Instrument
Leonardo Severini,Samson and the 7 Miracles of the World,1961,Cutting Instrument
Leonardo Severini,Autopsy,1975,Strangulation
Franco Tranchina,We Still Kill The Old Way,1967,Firearms
Mario Scaccia,The Perfume of the Lady in Black,1974,Cutting Instrument
Orazio Orlando,The Perfume of the Lady in Black,1974,Blunt Objects
Orazio Orlando,Highway Racer,1977,Vehicular
Donna Jordan,The Perfume of the Lady in Black,1974,Other
Emma Dumont,Wrong Turn,2021,Firearms
Jonathan Fairbirn,The House of Usher,1989,Impact
Anne Stradi,The House of Usher,1989,Impact
Norman Coombes,The House of Usher,1989,Impact
Philip Godawa,The House of Usher,1989,Impact
Anthony Lucero,Pump Up the Volume,1990,Other
Peter Clapham,The Phantom of the Opera,1989,Supernatural
Michael Cutt,Volcano,1997,Explosives
RCB,Hell Comes to Frogtown,1988,Firearms
Kristi Somers,Hell Comes to Frogtown,1988,Firearms
John Dods,Nightbeast,1982,Supernatural
Jamie Zemarel,Nightbeast,1982,Other
Jerry Schuerholz,Nightbeast,1982,Explosives
Hank Stuhmer,Nightbeast,1982,Explosives
Fred Gibmeyer,Nightbeast,1982,Explosives
David W. Donoho,Nightbeast,1982,Personal Weapons
Glenn Barnes,Nightbeast,1982,Other
Rose Wolfe,Nightbeast,1982,Other
Larry Reichman,Nightbeast,1982,Other
Brent Bolthouse,Hellraiser III: Hell on Earth,1992,Cutting Instrument
Peter Atkins,Hellraiser III: Hell on Earth,1992,Strangulation
Don Dohler,Nightbeast,1982,Explosives
Ken Carpenter,Hellraiser III: Hell on Earth,1992,Cutting Instrument
Dace Parson,Nightbeast,1982,Other
Richard Nelson,Nightbeast,1982,Other
Chris Burke,Nightbeast,1982,Other
Monica Neff,Nightbeast,1982,Strangulation
Eleanor Herman,Nightbeast,1982,Other
Richard Dyszel,Nightbeast,1982,Other
Don Leifert,Nightbeast,1982,Firearms
Marcia Layton,Cthulhu Mansion,1992,Fire
Espartaco Santoni,Blood Ceremony,1973,Cutting Instrument
Kaethe Cherney,Cthulhu Mansion,1992,Supernatural
Paul Birchard,Cthulhu Mansion,1992,Other
Paul Birchard,The Dark Knight,2008,Explosives
Ronald Faval,Cthulhu Mansion,1992,Firearms
Melanie Shatner,Cthulhu Mansion,1992,Strangulation
Brad Fisher,Cthulhu Mansion,1992,Animals
Marianne Comtell,The Sensual Man,1973,Ailment
Theodore von Eltz,Stand-In,1937,Animals
Hank Baumert,Martial Law,1991,Blunt Objects
Kerry Yo,Martial Law,1991,Cutting Instrument
Lars Lundgren,Martial Law,1991,Other
Rick Walters,Martial Law,1991,Firearms
Robbie Lee,Switchblade Sisters,1975,Cutting Instrument
Oscar Dillon,Memorial Day,1998,Firearms
Oscar Dillon,Idlewild,2006,Firearms
Will Brittain,Let Him Go,2020,Fire
Ryan Bruce,Let Him Go,2020,Blunt Objects
Adam Stafford,Let Him Go,2020,Firearms
Connor Mackay,Let Him Go,2020,Firearms
Deborah Driggs,Total Exposure,1991,Firearms
Paul Lazar,Married to the Mob,1988,Firearms
Paul Lazar,Snowpiercer,2013,Other
